 Rows: Electric field / N (Td)                                         
  0.1826E+24  0.7485E+24  0.1234E+25  0.3525E+25
  0.1761E+24  0.7466E+24  0.1232E+25  0.3526E+25
  0.1698E+24  0.7447E+24  0.1230E+25  0.3524E+25
  0.1639E+24  0.7428E+24  0.1227E+25  0.3519E+25
  0.1583E+24  0.7409E+24  0.1225E+25  0.3515E+25
  0.1529E+24  0.7392E+24  0.1224E+25  0.3512E+25
  0.1479E+24  0.7374E+24  0.1222E+25  0.3508E+25
  0.1430E+24  0.7360E+24  0.1220E+25  0.3507E+25
  0.1384E+24  0.7344E+24  0.1218E+25  0.3503E+25

 Re/perp mobility *N (1/m/V/s)                                   
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    

 Im/Hall mobility *N (1/m/V/s)                                   
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    

 Bulk mobility *N (1/m/V/s)                                      
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
